S_ECH,pn,an,deb,peche,engin,maille,LAT_VOY,LONG_VOY,no_db,prof,catch,longt,poidt,SEXE,poidg,poids,matc,dev,choixc,agec,sagec,cohorte,Pecheur,Remarques,datetime_set,datetime_haul,soak_time
67346,21,2021,Blanc Sablon,4SW,41,2.5,51.398316,-57.140716,17,16,6.2,379.44,441.8349741,F,31.24289752,410.5920766,32,A,A,11,,2010,Adrien Lavallée,NA,2021-06-22 13:00:00,2021-06-23 07:30:00,18.5
67346,22,2021,Blanc Sablon,4SW,41,2.5,51.398316,-57.140716,17,16,6.2,347.82,307.5383876,F,8.95965542,298.5787322,83,A,A,11,,2010,Adrien Lavallée,NA,2021-06-22 13:00:00,2021-06-23 07:30:00,18.5
67346,23,2021,Blanc Sablon,4SW,41,2.5,51.398316,-57.140716,17,16,6.2,357,380.9052411,M,86.42135633,294.4838848,50,A,P,9,,2012,Adrien Lavallée,NA,2021-06-22 13:00:00,2021-06-23 07:30:00,18.5
67346,24,2021,Blanc Sablon,4SW,41,2.5,51.398316,-57.140716,17,16,6.2,357,344.7295917,F,33.67402994,311.0555617,32,A,A,11,,2010,Adrien Lavallée,NA,2021-06-22 13:00:00,2021-06-23 07:30:00,18.5
67346,25,2021,Blanc Sablon,4SW,41,2.5,51.398316,-57.140716,17,16,6.2,357,324.3518281,M,14.31635232,310.0354758,30,A,A,10,,2011,Adrien Lavallée,NA,2021-06-22 13:00:00,2021-06-23 07:30:00,18.5
67346,26,2021,Blanc Sablon,4SW,41,2.5,51.398316,-57.140716,17,16,6.2,362.1,328.6583147,F,25.46723128,303.1910834,32,A,A,10,,2011,Adrien Lavallée,NA,2021-06-22 13:00:00,2021-06-23 07:30:00,18.5
67346,27,2021,Blanc Sablon,4SW,41,2.5,51.398316,-57.140716,17,16,6.2,342.72,308.5448043,F,21.1291521,287.4156522,32,A,A,9,,2012,Adrien Lavallée,NA,2021-06-22 13:00:00,2021-06-23 07:30:00,18.5
67346,28,2021,Blanc Sablon,4SW,41,2.5,51.398316,-57.140716,17,16,6.2,329.46,324.3518281,M,60.72512509,263.626703,50,A,P,7,,2014,Adrien Lavallée,NA,2021-06-22 13:00:00,2021-06-23 07:30:00,18.5
67346,29,2021,Blanc Sablon,4SW,41,2.5,51.398316,-57.140716,17,16,6.2,321.3,238.9176735,F,2.693304926,236.2243686,81,A,P,7,,2014,Adrien Lavallée,NA,2021-06-22 13:00:00,2021-06-23 07:30:00,18.5
67346,30,2021,Blanc Sablon,4SW,41,2.5,51.398316,-57.140716,17,16,6.2,353.94,361.094564,M,27.61087724,333.4836868,30,A,A,9,,2012,Adrien Lavallée,NA,2021-06-22 13:00:00,2021-06-23 07:30:00,18.5
67346,31,2021,Blanc Sablon,4SW,41,2.5,51.398316,-57.140716,17,16,6.2,350.88,349.7484561,F,24.60542174,325.1430343,32,A,A,10,,2011,Adrien Lavallée,NA,2021-06-22 13:00:00,2021-06-23 07:30:00,18.5
67346,32,2021,Blanc Sablon,4SW,41,2.63,51.398316,-57.140716,17,16,6.5,369.24,434.235271,M,54.23634386,379.9989272,40,A,P,9,,2012,Adrien Lavallée,NA,2021-06-22 13:00:00,2021-06-23 07:30:00,18.5
67346,33,2021,Blanc Sablon,4SW,41,2.63,51.398316,-57.140716,17,16,6.5,368.22,391.8466615,F,21.90591952,369.940742,32,A,A,10,,2011,Adrien Lavallée,NA,2021-06-22 13:00:00,2021-06-23 07:30:00,18.5
67346,34,2021,Blanc Sablon,4SW,41,2.63,51.398316,-57.140716,17,16,6.5,371.28,448.8230959,F,29.07775243,419.7453435,32,A,A,10,,2011,Adrien Lavallée,NA,2021-06-22 13:00:00,2021-06-23 07:30:00,18.5
67346,35,2021,Blanc Sablon,4SW,41,2.63,51.398316,-57.140716,17,16,6.5,362.1,382.8343605,F,36.45937742,346.3749831,32,A,A,12,,2009,Adrien Lavallée,NA,2021-06-22 13:00:00,2021-06-23 07:30:00,18.5
67346,36,2021,Blanc Sablon,4SW,41,2.63,51.398316,-57.140716,17,16,6.5,364.14,395.741661,M,59.04863049,336.6930305,40,A,P,10,,2011,Adrien Lavallée,NA,2021-06-22 13:00:00,2021-06-23 07:30:00,18.5
67346,37,2021,Blanc Sablon,4SW,41,2.63,51.398316,-57.140716,17,16,6.5,360.06,379.8292298,F,44.7052331,335.1239967,40,A,A,12,,2009,Adrien Lavallée,NA,2021-06-22 13:00:00,2021-06-23 07:30:00,18.5
67346,38,2021,Blanc Sablon,4SW,41,2.63,51.398316,-57.140716,17,16,6.5,380.46,416.8572842,F,15.10991059,401.7473736,83,A,A,12,+,2009,Adrien Lavallée,NA,2021-06-22 13:00:00,2021-06-23 07:30:00,18.5
67346,39,2021,Blanc Sablon,4SW,41,2.63,51.398316,-57.140716,17,16,6.5,361.08,376.9457838,M,27.72469378,349.22109,30,A,A,12,,2009,Adrien Lavallée,NA,2021-06-22 13:00:00,2021-06-23 07:30:00,18.5
67346,40,2021,Blanc Sablon,4SW,41,2.63,51.398316,-57.140716,17,16,6.5,367.2,397.8523274,F,32.92775804,364.9245694,32,A,A,12,+,2009,Adrien Lavallée,NA,2021-06-22 13:00:00,2021-06-23 07:30:00,18.5
67346,41,2021,Blanc Sablon,4SW,41,2.63,51.398316,-57.140716,17,16,6.5,340.68,365.0594081,M,56.811554,308.2478541,50,A,P,10,,2011,Adrien Lavallée,NA,2021-06-22 13:00:00,2021-06-23 07:30:00,18.5
67346,42,2021,Blanc Sablon,4SW,41,2.63,51.398316,-57.140716,17,16,6.5,351.9,361.094564,M,39.96027051,321.1342935,40,A,P,9,,2012,Adrien Lavallée,NA,2021-06-22 13:00:00,2021-06-23 07:30:00,18.5
67346,43,2021,Blanc Sablon,4SW,41,2.63,51.398316,-57.140716,17,16,6.5,351.9,392.7758143,M,70.76223873,322.0135755,50,A,P,11,,2010,Adrien Lavallée,NA,2021-06-22 13:00:00,2021-06-23 07:30:00,18.5
